date,time,count
W0116,10:37:02.893289,455
W0116,10:37:59.414351,456
W0116,10:38:05.164757,457
W0116,10:39:04.489624,458
W0116,10:39:10.212986,459
W0116,10:40:07.118402,460
W0116,10:40:12.868640,461
W0116,10:41:11.899220,462
W0116,10:41:17.649971,463
W0116,10:42:14.037653,464
W0116,10:42:19.817107,465
W0116,10:43:18.779453,466
W0116,10:43:24.526731,467
W0116,10:44:21.509936,468
W0116,10:44:27.288587,469
W0116,10:45:26.621870,470
W0116,10:45:32.429095,471
W0116,10:46:28.714751,472
W0116,10:46:34.494457,473
W0116,10:47:33.652351,474
W0116,10:47:39.429949,475
W0116,10:48:36.030576,476
W0116,10:48:41.775753,477
W0116,10:49:40.843416,478
W0116,10:49:46.648237,479
W0116,10:50:43.150418,480
W0116,10:50:48.991793,481
W0116,10:51:47.884131,482
W0116,10:51:53.698348,483
W0116,10:52:50.302387,484
W0116,10:52:56.110405,485
W0116,10:53:55.147199,486
W0116,10:54:00.956171,487
W0116,10:54:57.368628,488
W0116,10:55:03.175949,489
W0116,10:56:02.440368,490
W0116,10:56:08.275936,491
W0116,10:57:05.463439,492
W0116,10:57:11.240623,493
W0116,10:58:10.379271,494
W0116,10:58:16.189702,495
W0116,10:59:12.806615,496
W0116,10:59:18.617599,497
W0116,11:00:17.638628,498
W0116,11:00:23.482777,499
W0116,11:01:19.760721,500
W0116,11:01:25.596239,501
W0116,11:02:24.514869,502
W0116,11:02:30.355126,503
W0116,11:03:26.728590,504
W0116,11:03:32.511075,505
W0116,11:04:31.934662,506
W0116,11:04:37.738931,507
W0116,11:05:34.043490,508
W0116,11:05:39.881528,509
W0116,11:06:38.937793,510
W0116,11:06:44.776548,511
W0116,11:07:41.262370,512
W0116,11:07:47.101563,513
W0116,11:08:46.130851,514
W0116,11:08:51.966106,515
W0116,11:09:49.092831,516
W0116,11:09:54.931850,517
W0116,11:10:54.049796,518
W0116,11:10:59.887964,519
W0116,11:11:56.614107,520
W0116,11:12:02.480438,521
W0116,11:13:01.652993,522
W0116,11:13:07.488669,523
W0116,11:14:04.107054,524
W0116,11:14:09.975976,525
W0116,11:15:09.256280,526
W0116,11:15:15.124020,527
W0116,11:16:11.707211,528
W0116,11:16:17.582005,529
W0116,11:17:16.625010,530
W0116,11:17:22.492508,531
W0116,11:18:19.197911,532
W0116,11:18:25.071595,533
W0116,11:19:24.676234,534
W0116,11:19:30.544844,535
W0116,11:20:26.973613,536
W0116,11:20:32.817584,537
W0116,11:21:31.831382,538
W0116,11:21:37.697310,539
W0116,11:22:34.452934,540
W0116,11:22:40.348114,541
W0116,11:23:39.382413,542
W0116,11:23:45.249660,543
W0116,11:24:42.104436,544
W0116,11:24:48.029418,545
W0116,11:25:46.996048,546
W0116,11:25:52.834723,547
W0116,11:26:49.251392,548
W0116,11:26:55.118386,549
W0116,11:27:54.242115,550
W0116,11:28:00.200130,551
W0116,11:28:56.811499,552
W0116,11:29:02.707577,553
W0116,11:30:01.557447,554
W0116,11:30:07.488408,555
W0116,11:31:03.740561,556
W0116,11:31:09.665414,557
W0116,11:32:08.687299,558
W0116,11:32:14.588833,559
W0116,11:33:11.043085,560
W0116,11:33:16.944033,561
W0116,11:34:16.302752,562
W0116,11:34:22.233832,563
W0116,11:35:18.564819,564
W0116,11:35:24.464233,565
W0116,11:36:23.652611,566
W0116,11:36:29.548964,567
W0116,11:37:26.059966,568
W0116,11:37:31.991290,569
W0116,11:38:31.253298,570
W0116,11:38:37.150419,571
W0116,11:39:34.227360,572
W0116,11:39:40.155134,573
W0116,11:40:39.236097,574
W0116,11:40:45.194636,575
W0116,11:41:41.525583,576
W0116,11:41:47.457301,577
W0116,11:42:46.572202,578
W0116,11:42:52.530076,579
W0116,11:43:49.542054,580
W0116,11:43:55.498185,581
W0116,11:44:54.580017,582
W0116,11:45:00.511274,583
W0116,11:45:56.741551,584
W0116,11:46:02.705809,585
W0116,11:47:01.711428,586
W0116,11:47:07.608822,587
W0116,11:48:04.043157,588
W0116,11:48:10.008059,589
W0116,11:49:09.239960,590
W0116,11:49:15.232434,591
W0116,11:50:11.299690,592
W0116,11:50:17.226495,593
W0116,11:51:16.503767,594
W0116,11:51:22.462193,595
W0116,11:52:18.861755,596
W0116,11:52:24.817852,597
W0116,11:54:14.469280,598
W0116,11:54:20.490132,599
W0116,11:55:16.871965,600
W0116,11:55:22.836014,601
W0116,11:56:21.637392,602
W0116,11:56:27.624492,603
W0116,11:57:24.238786,604
W0116,11:57:30.227142,605
W0116,11:58:29.242554,606
W0116,11:58:35.201926,607
W0116,11:59:31.603520,608
W0116,11:59:37.566529,609
W0116,12:00:36.417775,610
W0116,12:00:42.314615,611
W0116,13:30:22.320526,612
W0116,13:30:27.831251,613
W0116,13:31:24.571907,614
W0116,13:31:30.140467,615
W0116,13:32:29.514828,616
W0116,13:32:35.081640,617
W0116,13:33:31.605932,618
W0116,13:33:37.179180,619
W0116,13:34:36.368114,620
W0116,13:34:41.962167,621
W0116,13:35:38.680500,622
W0116,13:35:44.280934,623
W0116,13:36:43.686669,624
W0116,13:36:49.347864,625
W0116,13:37:46.123961,626
W0116,13:37:51.721830,627
W0116,13:38:50.977258,628
W0116,13:38:56.606633,629
W0116,13:39:53.288267,630
W0116,13:39:58.943864,631
W0116,13:40:57.949807,632
W0116,13:41:03.641431,633
W0116,13:42:00.305758,634
W0116,13:42:05.935863,635
W0116,13:43:05.215572,636
W0116,13:43:10.841536,637
W0116,13:44:07.609012,638
W0116,13:44:13.270190,639
W0116,13:45:12.228689,640
W0116,13:45:17.918321,641
W0116,13:46:14.548069,642
W0116,13:46:20.204918,643
W0116,13:47:19.668092,644
W0116,13:47:25.328795,645
W0116,13:48:22.193456,646
W0116,13:48:27.880944,647
W0116,13:49:27.357177,648
W0116,13:49:33.049327,649
W0116,13:50:29.433553,650
W0116,13:50:35.121475,651
W0116,13:51:34.330264,652
W0116,13:51:40.075647,653
W0116,13:52:37.041551,654
W0116,13:52:42.757745,655
W0116,13:53:41.763533,656
W0116,13:53:47.484720,657
W0116,13:54:44.305336,658
W0116,13:54:50.019894,659
W0116,13:55:49.620065,660
W0116,13:55:55.340552,661
W0116,13:56:51.901049,662
W0116,13:56:57.655340,663
W0116,13:57:56.733891,664
W0116,13:58:02.485592,665
W0116,13:58:59.368041,666
W0116,13:59:05.119844,667
W0116,14:00:04.354065,668
W0116,14:00:10.102953,669
W0116,14:01:06.681830,670
W0116,14:01:12.406754,671
W0116,14:02:11.566985,672
W0116,14:02:17.317514,673
W0116,14:03:13.888096,674
W0116,14:03:19.695808,675
W0116,14:04:18.931574,676
W0116,14:04:24.707031,677
W0116,14:05:21.172274,678
W0116,14:05:26.922675,679
W0116,14:06:26.299520,680
W0116,14:06:32.082234,681
W0116,14:07:28.608076,682
W0116,14:07:34.357257,683
W0116,14:08:33.329738,684
W0116,14:08:39.114029,685
W0116,14:09:35.856765,686
W0116,14:09:41.671192,687
W0116,14:10:40.858563,688
W0116,14:10:46.672895,689
W0116,14:11:43.249653,690
W0116,14:11:49.060962,691
W0116,14:12:48.346408,692
W0116,14:12:54.125910,693
W0116,14:13:50.893931,694
W0116,14:13:56.671013,695
W0116,14:14:55.487648,696
W0116,14:15:01.295441,697
W0116,14:15:57.853258,698
W0116,14:16:03.664625,699
W0116,14:17:02.957098,700
W0116,14:17:08.767659,701
W0116,14:18:05.485056,702
W0116,14:18:11.295507,703
W0116,14:19:10.635413,704
W0116,14:19:16.472911,705
W0116,14:20:13.019071,706
W0116,14:20:18.854035,707
W0116,14:21:18.472903,708
W0116,14:21:24.313361,709
W0116,14:22:20.819080,710
W0116,14:22:26.631613,711
W0116,14:23:25.895542,712
W0116,14:23:31.738023,713
W0116,14:24:28.592104,714
W0116,14:24:34.463521,715
W0116,14:25:33.510779,716
W0116,14:25:39.385365,717
W0116,14:26:35.754734,718
W0116,14:26:41.629323,719
W0116,14:27:41.075081,720
W0116,14:27:46.911113,721
W0116,14:28:43.495443,722
W0116,14:28:49.332188,723
W0116,14:29:48.944350,724
W0116,14:29:54.846994,725
W0116,14:30:51.535778,726
W0116,14:30:57.401777,727
W0116,14:31:56.525499,728
W0116,14:32:02.428841,729
W0116,14:32:58.943815,730
W0116,14:33:04.784950,731
W0116,14:34:03.981530,732
W0116,14:34:09.878499,733
W0116,14:35:06.487969,734
W0116,14:35:12.355141,735
W0116,14:36:11.756510,736
W0116,14:36:17.651903,737
W0116,14:37:14.283633,738
W0116,14:37:20.214850,739
W0116,14:38:19.128504,740
W0116,14:38:25.026499,741
W0116,14:39:21.641002,742
W0116,14:39:27.544548,743
W0116,14:40:26.660775,744
W0116,14:40:32.558180,745
W0116,14:41:29.821575,746
W0116,14:41:35.774106,747
W0116,14:42:34.997129,748
W0116,14:42:40.835964,749
W0116,14:43:37.628185,750
W0116,14:43:43.494573,751
W0116,14:44:42.765283,752
W0116,14:44:48.640540,753
W0116,14:45:45.609787,754
W0116,14:45:51.535686,755
W0116,14:46:50.570022,756
W0116,14:46:56.500571,757
W0116,14:47:53.238104,758
W0116,14:47:59.172596,759
W0116,14:48:58.217206,760
W0116,14:49:04.176724,761
W0116,14:50:00.889593,762
W0116,14:50:06.847862,763
W0116,14:51:05.801215,764
W0116,14:51:11.699375,765
W0116,14:52:08.068182,766
W0116,14:52:13.996802,767
W0116,14:53:13.431540,768
W0116,14:53:19.357851,769
W0116,14:54:16.009447,770
W0116,14:54:21.944113,771
W0116,14:55:21.039811,772
W0116,14:55:26.939119,773
W0116,14:56:57.535706,774
W0116,14:57:03.521559,775
W0116,14:58:00.421537,776
W0116,14:58:06.381745,777
W0116,14:59:05.665815,778
W0116,14:59:11.597394,779
W0116,15:00:07.945816,780
W0116,15:00:13.907552,781
W0116,15:01:12.946465,782
W0116,15:01:18.910002,783
W0116,15:02:15.360783,784
W0116,15:02:21.293572,785
W0116,15:03:20.695161,786
W0116,15:03:26.653115,787
W0116,15:04:23.292857,788
W0116,15:04:29.224210,789
W0116,15:05:28.658597,790
W0116,15:05:34.653597,791
W0116,15:06:31.510140,792
W0116,15:06:37.439530,793
W0116,15:07:36.525048,794
W0116,15:07:42.451859,795
W0116,15:08:39.305887,796
W0116,15:08:45.234210,797
W0116,15:09:44.296772,798
W0116,15:09:50.257411,799
W0116,15:10:46.969719,800
W0116,15:10:52.896081,801
W0116,15:11:51.791841,802
W0116,15:11:57.808391,803
W0116,15:12:54.319507,804
W0116,15:13:00.336090,805
W0116,15:13:59.276465,806
W0116,15:14:05.239285,807
W0116,15:15:02.077327,808
W0116,15:15:08.070102,809
W0116,15:16:07.788162,810
W0116,15:22:20.128310,811
W0116,15:22:25.908774,812
W0116,15:24:59.805778,813
W0116,15:25:05.761581,814
W0116,15:26:02.226083,815
W0116,15:26:08.127312,816
W0116,15:27:07.403263,817
W0116,15:27:13.276647,818
W0116,15:28:09.867157,819
W0116,15:28:15.796964,820
W0116,15:29:15.207038,821
W0116,15:29:21.109164,822
W0116,15:30:17.569986,823
W0116,15:30:23.466782,824
W0116,15:31:22.612651,825
W0116,15:31:28.544492,826
W0116,15:32:25.355159,827
W0116,15:32:31.313573,828
W0116,15:33:30.338953,829
W0116,15:33:36.263681,830
W0116,15:34:32.653962,831
W0116,15:34:38.617082,832
W0116,15:35:37.710171,833
W0116,15:35:43.643613,834
W0116,15:36:40.247680,835
W0116,15:36:46.179639,836
W0116,15:37:45.149166,837
W0116,15:37:51.075552,838
W0116,15:38:47.673154,839
W0116,15:38:53.628882,840
W0116,15:39:53.355163,841
W0116,15:39:59.341593,842
W0116,15:40:55.961266,843
W0116,15:41:01.985440,844
W0116,15:42:01.166795,845
W0116,15:42:07.123541,846
W0116,15:43:03.888615,847
W0116,15:43:09.883538,848
W0116,15:44:09.376109,849
W0116,15:44:15.370932,850
W0116,15:45:11.937131,851
W0116,15:45:17.900147,852
W0116,15:46:17.056066,853
W0116,15:46:23.015645,854
W0116,15:47:19.417762,855
W0116,15:47:25.379379,856
W0116,15:48:24.638624,857
W0116,15:48:30.600046,858
W0116,15:49:27.249858,859
W0116,15:49:33.241375,860
W0116,15:50:32.360110,861
W0116,15:50:38.405687,862
W0116,15:51:34.951107,863
W0116,15:51:40.939428,864
W0116,15:52:39.879313,865
W0116,15:55:45.039678,866
W0116,15:55:50.849395,867
W0116,15:56:47.542966,868
W0116,15:56:53.508380,869
W0116,15:57:52.361624,870
W0116,15:57:58.326826,871
W0116,15:58:54.876174,872
W0116,15:59:00.809351,873
W0116,15:59:59.690845,874
W0116,16:00:05.684904,875
W0116,16:01:02.075338,876
W0116,16:01:08.035845,877
W0116,16:02:07.184465,878
W0116,16:02:13.170436,879
W0116,16:03:10.161787,880
W0116,16:03:16.120443,881
W0116,16:04:14.897178,882
W0116,16:04:20.855449,883
W0116,16:05:17.219034,884
W0116,16:05:23.214576,885
W0116,16:06:22.176862,886
W0116,16:06:28.108775,887
W0116,16:07:24.856062,888
W0116,16:07:30.885090,889
W0116,16:08:29.954342,890
W0116,16:08:35.944403,891
W0116,16:09:32.186205,892
W0116,16:09:38.149840,893
W0116,16:10:37.030678,894
W0116,16:10:42.994009,895
W0116,16:11:39.865617,896
W0116,16:11:45.854240,897
W0116,16:12:45.101287,898
W0116,16:12:51.065343,899
W0116,16:13:47.639237,900
W0116,16:13:53.626279,901
W0116,16:14:52.894467,902
W0116,16:14:58.852066,903
W0116,16:15:55.178340,904
W0116,16:17:51.149432,905
W0116,16:17:56.927414,906
W0116,16:18:53.285732,907
W0116,16:18:59.275475,908
W0116,16:19:58.411664,909
W0116,16:20:04.397467,910
W0116,16:21:01.265928,911
W0116,16:21:07.226591,912
W0116,16:22:06.265792,913
W0116,16:22:12.195731,914
W0116,16:23:28.369088,915
W0116,16:23:34.387189,916
W0116,16:24:30.911739,917
W0116,16:24:36.898228,918
W0116,16:25:35.971482,919
W0116,16:25:41.958299,920
W0116,16:26:38.958222,921
W0116,16:26:44.974314,922
W0116,16:27:44.015924,923
W0116,16:27:50.065675,924
W0116,16:28:47.066344,925
W0116,16:28:53.114442,926
W0116,16:29:52.157019,927
W0116,16:29:58.189375,928
W0116,16:30:54.650617,929
W0116,16:31:00.671808,930
W0116,16:32:00.159617,931
